Проект,Категории,Цена,Заявки
Дизайн сайта-визитки - изготовление фундамента,Дизайн сайтов,$30,37 заявок
Тайный клиент по телефону (с записью разговоров),Управление проектами,,исполнитель выбран
Скрипт – фильтр данных + таблица,Веб-программирование,,5 заявок
Написание статей,Копирайтинг/Рерайтинг,,9 заявок
Ошибка Некорректно указан номер телефона,Веб-программирование,,исполнитель выбран
Привлечь трафик на соц.сети,Социальные сети (SMM/SMO),,5 заявок
Верстка макета и натяжка на dle,HTML-верстка,,8 заявок
"Найти, какой модуль/скрипт тормозит CMS Joomla",Веб-программирование,,1 заявка
Доработать программу C# + Access,Прикладное ПО,,1 заявка
Доработка персонального сайта юриста,Системы управления (CMS),,нет заявок
Наполнение интернет-магазина контентом.,Наполнение сайтов,,20 заявок
"Проверить/донастроить ""Виртуальную машину"" от Битрикса",Веб-программирование,,1 заявка
Поддержка и доработка сайта на WordPress,Системы управления (CMS),,5 заявок
Разработка расширения chrome для csgodouble,Прикладное ПО,,нет заявок
Доработать функционал проекта на yii2,Веб-программирование,,4 заявки
Необходима помощь в создании кампании в Директ по списку ключей,Контекстная реклама,$45,13 заявок
Надо для сайта придумать подзаголовки,Нейминг/Слоганы,,8 заявок
Контент менеджер на разовую работу. Open Cart,Наполнение сайтов,,9 заявок
"Скрипт, который ходит по сайтам",Веб-программирование,,4 заявки
Логотип для спортивных товаров,Знаки/Логотипы,$80,16 заявок
Верстка и натяжка на CMS,"HTML-верстка, Системы управления (CMS)",$170,15 заявок
Рассказать всё про VDS.,Веб-программирование,,нет заявок
Нужен копирайтер,Копирайтинг/Рерайтинг,,9 заявок
Подобор тематических изображений для постов в Инстаграм.,Фотография (обработка),,16 заявок
Контекстная реклама для онлайн-тренинга по достижению целей,Контекстная реклама,,5 заявок
"Провести интеграцию с 1с, через ПО заказчика",1С-программирование,$1000,8 заявок
Тема: Усовершенствование системы государственного регулирования лесным,Дипломы/Курсовые/Рефераты,,1 заявка
FoxPro Директор магазина аудиотехники (база данных),Дипломы/Курсовые/Рефераты,$80,2 заявки
ТЗ на оптимизацию сайта,Поисковые системы (SEO),,12 заявок
Создать компонент на CMS joomla 3,Системы управления (CMS),,исполнитель выбран
Аукцион на ModX,Веб-программирование,$400,4 заявки
Создание баннеров для ADwords,Баннеры,,исполнитель выбран
Скрипты для публикации объявлений,Веб-программирование,$95,1 заявка
Регистрация сайта в каталогах фирм,Наполнение сайтов,,нет заявок
Настроить директ для магазина техники.,Контекстная реклама,,16 заявок
Дизайн сайта кондитетрской фабрики,Дизайн сайтов,$700,47 заявок
Написать несколько статей по строительству крыш,Копирайтинг/Рерайтинг,$120,4 заявки
Написание 55 статей по ~4000 знаков каждая,Новости/Статьи/Обзоры,,38 заявок
Верстка + программирование 6-ти страничного сайта на MODX Веб-програм,"HTML-верстка, Веб-программирование",,7 заявок
Почистить хостинг от вирусов,Веб-программирование,$5,4 заявки
Требуется нарисовать дизайн лендинга,Дизайн сайтов,,49 заявок
Ведение страницы на ФБ с ежедневным размещением постов в тематических,Социальные сети (SMM/SMO),,5 заявок
Контрольная работа предпринимательское право,Дипломы/Курсовые/Рефераты,$4,4 заявки
Правки css на сайте на modx,Веб-программирование,$5,5 заявок
Ansible role для ограничения пользователя,Системное администрирование,,исполнитель выбран
Необходимо написание скетча для Arduino (экспонометр с датчик. BH1750),Прикладное ПО,,1 заявка
Лабораторная работа Основы автоматизированного проектировани,Дипломы/Курсовые/Рефераты,$12,нет заявок
Контрольная работа трудовое право,Дипломы/Курсовые/Рефераты,$4,2 заявки
ТЗ на разработку CRM под задачи компании,Веб-программирование,,3 заявки
Работа контент-менеджера,Наполнение сайтов,,7 заявок
Создание доп сайта (типа диспетчер) для сайта,Сайты «под ключ»,,6 заявок
Контрольная работа Управление таможенными органами,Дипломы/Курсовые/Рефераты,$12,1 заявка
"Правки скриптов, верстки интернет магазина на OpenCart",Веб-программирование,,1 заявка
Внутренняя оптимизация сайта,Поисковые системы (SEO),,18 заявок
"CSS, @media, адаптация дизайна из макетов под существующий функционал",HTML-верстка,,4 заявки
Доработка фильтров по Magento,Веб-программирование,,нет заявок
Для проекта нужен переводчик с немецкого/ на немецкий,"Переводы, Копирайтинг/Рерайтинг",,9 заявок
"Сценарист, создание сценария",Копирайтинг/Рерайтинг,,4 заявки
Дизайн лэндинга необходимо выполнить.,Дизайн сайтов,,55 заявок
Создать реферальные хвосты,Веб-программирование,,нет заявок
Сверстать и посадить на WordPress,"HTML-верстка, Системы управления (CMS)",,исполнитель выбран
Работа с фотоархивом ТАСС,Наполнение сайтов,$300,30 заявок
Отформатировать текст,Редактирование/Корректировка,,49 заявок
Оператор колл-центра (работа на дому),Служба поддержки,,нет заявок
Создание двух групп соц сетях.,"Социальные сети (SMM/SMO), Дизайн сайтов",,17 заявок
Продвижение групп в соцсетях.,Социальные сети (SMM/SMO),,9 заявок
3D визуализация коттеджей,3D-графика,,29 заявок
Верстка сайта и натяжка его CMS WP,"HTML-верстка, Системы управления (CMS)",,исполнитель выбран
Для игрового клуба нужна клиент-серверная программа,Прикладное ПО,,2 заявки
Необходим дизайнер для прорисовки некоторых страниц сайта,Дизайн сайтов,,30 заявок
Разместить объявления,Наполнение сайтов,,14 заявок
"Настройка таргетированой рекламы в VK, FB",Социальные сети (SMM/SMO),,4 заявки
Сделать форму для отзывов,Веб-программирование,,3 заявки
MS Dynamics CRM Developer,Системное программирование,,нет заявок
Нам нужно найти очень дешевый релевантный траффик с США и Эвропы,Поисковые системы (SEO),,нет заявок
Нарисовать изображение человека по поврежденной фото,"Иллюстрации/Рисунки, Фотография (обработка)",,исполнитель выбран
Семантическое ядро для сайта на немецком языке,Поисковые системы (SEO),,2 заявки
Требуется разработать дизайн сайта для мультимедийной программы,Дизайн сайтов,,исполнитель выбран
Поиск по регионам,Веб-программирование,,2 заявки
Доработка сайта-визитки.,Веб-программирование,,исполнитель выбран
Предметная съемка в Казани,Фотография (съемка),,нет заявок
Сделать сайт с похожим функционалом,Сайты «под ключ»,,23 заявки
Собрать сайт на конструкторе https://tilda.cc/ru/,Веб-программирование,,1 заявка
Добавление товара в интернет магазин,Наполнение сайтов,,19 заявок
Адаптивно сверстать лендинг,HTML-верстка,,44 заявки
Создать программу-бот на Delphi,Прикладное ПО,,нет заявок
Требуется специалист по Simpla CMS,Системы управления (CMS),,1 заявка
"[ТАУ] Построить математическую модель, проверить на устойчивость",Дипломы/Курсовые/Рефераты,$15,1 заявка
Диплом.Кoнcтитyциoнный кoнтpoль в PФ,Дипломы/Курсовые/Рефераты,,4 заявки
Курсовая.Иcтopия вoзникнoвeния и paзвития aктoв,Дипломы/Курсовые/Рефераты,,2 заявки
Нужен сайт с использованием java скриптов,Веб-программирование,,4 заявки
Дизайн фасада 2х этажного торгового центра,Интерьеры/Экстерьеры,,14 заявок
Раскрутка и оптимизация сайта,Поисковые системы (SEO),,21 заявка
Написать несложный скрипт,Веб-программирование,,2 заявки
Написать несложный скрипт,Веб-программирование,,2 заявки
Редактирование админки,Веб-программирование,,1 заявка
Верстка сайта  HTML,HTML-верстка,,21 заявка
Плавное открывание меню,Веб-программирование,,5 заявок
Настройка шлюза на вин сервере,Системное администрирование,,7 заявок
Дизайн Квартиры 86 кв.м.  3х комнатная,Интерьеры/Экстерьеры,,21 заявка
Дизайн лендинга 9-10 экранов по прототипу. Продажа услуги смм,Дизайн сайтов,$20,26 заявок
Верстка/натяжка на MODX  сайта-визитки,Веб-программирование,$150,7 заявок
"Отчет по практике, таможенно-правовое регулирование",Дипломы/Курсовые/Рефераты,,нет заявок
Дипломная работа,Дипломы/Курсовые/Рефераты,,3 заявки
Подготовка рисунков к печати,Верстка полиграфии,,12 заявок
Статьи для сайта с автомобильной тематикой,Копирайтинг/Рерайтинг,,4 заявки
Запуск работы формы,Базы данных,,2 заявки
Создание системы управления взаимоотношениями с клиентами(курсовая),Дипломы/Курсовые/Рефераты,,1 заявка
Требуется копирайтер на проект,Копирайтинг/Рерайтинг,,16 заявок
Создание дизайна для сайта автомобильной климатической техники,Дизайн сайтов,,39 заявок
Поставить Wordpress на хостинг и активировать шаблон,HTML-верстка,,8 заявок
Нужен рерайт статьи на английском языке.,Копирайтинг/Рерайтинг,,5 заявок
Нужен рерайтинг дипломной работы,Дипломы/Курсовые/Рефераты,,исполнитель выбран
Доработка готового сайта.,Веб-программирование,,2 заявки
Продвижение сайта SEO,Поисковые системы (SEO),$100,18 заявок
Ру-англ перевод 1к символов,Переводы,$2,30 заявок
Переписать не большой сайт на Yii или на другой Framework,Системы управления (CMS),,9 заявок
Сайт визитка на wordpress,Системы управления (CMS),$30,8 заявок
Постинг в соцсетях - краудмаркетинг,Социальные сети (SMM/SMO),,3 заявки
Сотрудник в службу технической поддержки,Служба поддержки,,60 заявок
Верстка и программинг интернет-магазина,"HTML-верстка, Веб-программирование",,9 заявок
Перевод из растра в вектор.,Иллюстрации/Рисунки,,исполнитель выбран
WEB программист на постоянную работу,Веб-программирование,$100,5 заявок
Аудит безопасности сайта,Тестирование сайтов,,исполнитель выбран
Доделать/сделать дизайн кухонного гарнитура,3D-графика,,11 заявок
Текст для Главной страницы Игры,Копирайтинг/Рерайтинг,,5 заявок
Создание прототипа Игры,Интерфейсы игр и программ,,3 заявки
Рерайт текста на английском,Копирайтинг/Рерайтинг,,5 заявок
Нужно доработать приложение на С# по синхронизации БД,Прикладное ПО,,1 заявка
Оптимизировать скорость загрузки сайта,"Системы управления (CMS), HTML-верстка",,10 заявок
Необходима адаптивная верстка страницы,HTML-верстка,,33 заявки
Нужно доделать интернет магазин,Веб-программирование,,нет заявок
Размещение контента на сайте по выпадению волос,Наполнение сайтов,,5 заявок
"Баннер для мобильной игры (девушка, эротика)",Иллюстрации/Рисунки,,9 заявок
"Баннер для мобильной игры (девушка, эротика)",Иллюстрации/Рисунки,,9 заявок
Доработка диплома Документационное обеспечение управления,Дипломы/Курсовые/Рефераты,,2 заявки
Оптимизировать работу памяти веб-приложения на Ruby,Веб-программирование,,1 заявка
Написание программы автоматизации ресторанного бизнеса на телефон,ПО для мобильных устройств,$10000,5 заявок
Разработка небольшей программы,Прикладное ПО,,исполнитель выбран
Описание на карточки товара,Копирайтинг/Рерайтинг,,16 заявок
Нужен плагин для google chrome,Системное программирование,,2 заявки
Нарисовать баннеры 4 виды,Баннеры,,11 заявок
Дизайнерское оформление презентации,Презентации,,2 заявки
Нужно сверстать несколько страничек в адаптиве,HTML-верстка,$15,9 заявок
Натянуть тему на вордпрес,Системы управления (CMS),,11 заявок
Натянуть дизайн на сайт (CMF Cotonti),Системы управления (CMS),,1 заявка
Доработка плагина для Shop-Script 6,Веб-программирование,,исполнитель выбран
Разработка и дизайн сайта электронного журнала,Сайты «под ключ»,,14 заявок
Ручной перенос информации на сайт 1С-Битрикс,Наполнение сайтов,,13 заявок
Иконки для сайта,Пиксел-арт/Иконки,,13 заявок
Письмо для рекламной рассылки.,"Копирайтинг/Рерайтинг, HTML-верстка",,8 заявок
Встроить прямую трансляцию на лендинг с другого сайта,Веб-программирование,,4 заявки
Составление коротких рекламных объявлений,Копирайтинг/Рерайтинг,,7 заявок
Настроить шаблон и перенести контент,Наполнение сайтов,$100,6 заявок
Реализация алгоритма Берлекэмпа-Месси на С++ или Python,Веб-программирование,,1 заявка
"NetCat, работы по интернет-магазину",HTML-верстка,,нет заявок
Требуется доработать сайт на Drupal,Веб-программирование,,6 заявок
Статья на английском (рерайт),Переводы,,13 заявок
Анализ раздела статистики,Дипломы/Курсовые/Рефераты,,1 заявка
WEB программист,Веб-программирование,,2 заявки
Создание коротких рекламных объявлений,Копирайтинг/Рерайтинг,,2 заявки
Создание анимированых мультов,Анимация,,12 заявок
Создания интернет-магазина чехлов,Сайты «под ключ»,$200,6 заявок
Дизайн этикетки для сливочного масла,Дизайн продукции,$15,10 заявок
"Разработать логотип, в последствии он будет наносится на дерево",Знаки/Логотипы,,исполнитель выбран
"Нужен платежный модуль для битрикс, есть старый. 100USD",Системы управления (CMS),$100,нет заявок
Диплом  менеджмент,Дипломы/Курсовые/Рефераты,,исполнитель выбран
Разработать фирменный стиль,Фирменный стиль,,11 заявок
Перевод текста по Форекс тематики с русского на японский,Переводы,,исполнитель выбран
Перевод текста по Форекс тематики с русского на английски,Переводы,,исполнитель выбран
"Задача: нужны подписчики в группу в ВК, Fb, Insta",Социальные сети (SMM/SMO),,8 заявок
Разработка игрового персонажа,Иллюстрации/Рисунки,,13 заявок
Специалист drupal,Системы управления (CMS),$150,4 заявки
Тексты на IT-тематику для сайта,Копирайтинг/Рерайтинг,,13 заявок
Требуется доделать сайт,HTML-верстка,,3 заявки
Реализация доставки в корзине OpenCart,Интернет-магазины,,4 заявки
Натянуть верстку на опенкарт 2,Веб-программирование,,1 заявка
Интеграция 1С и интернет-магазина,Веб-программирование,,3 заявки
Курсовая по архитектуре,Дипломы/Курсовые/Рефераты,,нет заявок
"Написать тайтлы, дескрипшны, Н1",Копирайтинг/Рерайтинг,,2 заявки
Добавить кнопку-форму заказа на сайт Wordpress,Веб-программирование,,7 заявок
Переводчик французского (автомобильная тематика),Переводы,,7 заявок
Настроить удаленно 1С предприятие для розницы и опта,1С-программирование,,1 заявка
Курсовая по химии,Дипломы/Курсовые/Рефераты,,нет заявок
Провести обновления vamshop,Веб-программирование,,1 заявка
Проверка базы (разовый проект),Служба поддержки,,25 заявок
Верстка сайта.,HTML-верстка,,16 заявок
Логотип для компании упаковочных материалов,Знаки/Логотипы,$70,13 заявок
Необходим программист битрикс на несколько проектов,Веб-программирование,,1 заявка
Требуется программист для работы с интернет магазином на Magento.,Веб-программирование,,нет заявок
Доработать программу с#,Прикладное ПО,$100,9 заявок
Доработать сайт,Веб-программирование,,7 заявок
Верстка шаблона для блога на Wordpress,HTML-верстка,$120,исполнитель выбран
Нужна доработка приложения на iOS,ПО для мобильных устройств,,1 заявка
Разместить рекламу,Контекстная реклама,,6 заявок
Курсовая по теория организации,Дипломы/Курсовые/Рефераты,,4 заявки
Внутренняя оптимизация сайта,Поисковые системы (SEO),,15 заявок
Необходимо настроить сквозную аналитику в Google Analytics,Контекстная реклама,,2 заявки
Ищу исполнителя на создание и ведение РК в Директ и Adwords,Контекстная реклама,,9 заявок
Отрисовать и смонтировать ролик,3D-графика,,4 заявки
Флешер для подготовки ресайзов баннеров,Баннеры,,6 заявок
Прототип ИМ на основании темы,Интернет-магазины,,3 заявки
Модернизация стандартного сайта (в основном базы данных),Веб-программирование,,исполнитель выбран
Доработка сайта на cotonti,Веб-программирование,$100,1 заявка
Перевести аудиофайл в текст,Редактирование/Корректировка,,68 заявок
Форма оплаты,Веб-программирование,,2 заявки
Установка RFID системы на склад,Прикладное ПО,,2 заявки
Адаптивная верстка лендинга,HTML-верстка,,47 заявок
Нужен wordpress программист для выполнения задачи по ТЗ,Системы управления (CMS),,8 заявок
Доработать интернет-магазин на Opencart 2 или сделать на другом движке,Веб-программирование,,исполнитель выбран
Помощь в разработке сайта на Yii,Веб-программирование,,1 заявка
"Робот-обменник грн-бтк, бтк-грн",Сайты «под ключ»,,7 заявок
Контекстная реклама настройка (срочно),Контекстная реклама,$17,6 заявок
3я глава по диплому по логопедии,Дипломы/Курсовые/Рефераты,,1 заявка
Реферат по религии - 18 мая,Дипломы/Курсовые/Рефераты,,3 заявки
Курсовая работа Базы данных,Дипломы/Курсовые/Рефераты,,1 заявка
Курсовая работа по схемотехнике,Дипломы/Курсовые/Рефераты,,нет заявок
Настройка VDS + Wordpress для большой посещаемости,Системное администрирование,,13 заявок
Разработать адаптивный дизайн сайта,Дизайн сайтов,,47 заявок
Модули,Интернет-магазины,,1 заявка
Разработать 10 3d схем\рендоров,3D-графика,,4 заявки
Перенести ИМ с insales на другой движок,Системы управления (CMS),,4 заявки
Отремонтировать капчу или поставить новую.,Веб-программирование,,5 заявок
Необходимо сделать администрирование Mikrotek Роутера,Системное администрирование,,6 заявок
Сделать скрипт для сайта,Веб-программирование,,1 заявка
"Установить плагины шоп скрипт 6, ""купить в 1 клик"" и брошенная корзина",Веб-программирование,,1 заявка
Поиск и устранение php уязвимостей,Веб-программирование,,3 заявки
Логотип компании и упаковки,Знаки/Логотипы,,16 заявок
Дизайн landing-page по moqups,Дизайн сайтов,$40,19 заявок
Реклама в социальных сетях,Социальные сети (SMM/SMO),,10 заявок
Разместить пост о сайте,Наполнение сайтов,,2 заявки
Создать видео обзор,Видеомонтаж,,16 заявок
Копирайт,Копирайтинг/Рерайтинг,,5 заявок
Консультация по GIT,Веб-программирование,,2 заявки
Консультация по GIT,Веб-программирование,,2 заявки
Верстка сайта стоматологии,HTML-верстка,$220,исполнитель выбран
"Макет магазина, flat, инфорграфика",Дизайн сайтов,,23 заявки
Нужен програмист,Веб-программирование,$1000,7 заявок
"Продвижение группы в соц.сетях: ВК, Фейсбук.",Социальные сети (SMM/SMO),,14 заявок
Изменения главного экрана сайта на modx,HTML-верстка,,5 заявок
Сделать заставку для видео,Видеомонтаж,,17 заявок
Дорабоать блог.,Веб-программирование,,2 заявки
Переделать главную страницу,Веб-программирование,,1 заявка
Расставить pin объектов на панорамных картах,Наполнение сайтов,$25,1 заявка
Нарисовать лендинг,Дизайн сайтов,,49 заявок
Размещение. Постинг объявлений на авито и других сайтах,Наполнение сайтов,,6 заявок
Нужно написать теорию для дипломного проекта на тему создания сайта.,Дипломы/Курсовые/Рефераты,,3 заявки
Оптимизация кода и запросов к БД,Веб-программирование,,5 заявок
Разместить тексты на битрикс сайте,Наполнение сайтов,$9,1 заявка
Разработать дизайн коммерческого предложения,Дизайн продукции,,7 заявок
"Ошибки в php скрипте для подсчета количества знаков в тексте PDF, Word",Веб-программирование,$20,5 заявок
Разработать дизайн и верстку мобильной версии сайта,"HTML-верстка, Дизайн сайтов",,15 заявок
Опытный программист на ДЖУМЛА 3.,Системы управления (CMS),,2 заявки
Tcip андройд,ПО для мобильных устройств,$800,2 заявки
Python - прочекать базу сайтов больше миллиона на ответ 200,Веб-программирование,,4 заявки
Перебрать список 2000 сайтов,Копирайтинг/Рерайтинг,$1000,5 заявок
Редизайн логотипа,Знаки/Логотипы,,23 заявки
Клиентское приложение на Windows Phone Silverlight,Прикладное ПО,,1 заявка
Установить шаблон на Word Press,HTML-верстка,$2,6 заявок
Дипломная работа,Дипломы/Курсовые/Рефераты,,нет заявок
Доработка сайта на ocStore 2.1,Системы управления (CMS),,1 заявка
Создание сайта на 1С Битрикс,Сайты «под ключ»,,12 заявок
Доработки на opencart,HTML-верстка,,4 заявки
Калькулятор рассчетов,Веб-программирование,,исполнитель выбран
Планировка и дизайн однокомнатной квартиры,Интерьеры/Экстерьеры,,22 заявки
Легкий дизайн еврофлаера!,Дизайн продукции,$5,10 заявок
Разработка небольшого облачного сервиса,Веб-программирование,$50,1 заявка
Ищем автора для информационного проекта,Копирайтинг/Рерайтинг,,10 заявок
Верстка формы ввода,HTML-верстка,,5 заявок
Наполнить соц. сеть сообщениями.,Социальные сети (SMM/SMO),,3 заявки
Требуется наполнить форум,Наполнение сайтов,$75,7 заявок
Разработка модуля на php,Веб-программирование,,1 заявка
Создание сайта,Веб-программирование,,5 заявок
Разработать тз для програмиста  на шаблонизирование мета тегов,Копирайтинг/Рерайтинг,,нет заявок
Разработать тз для програмиста  на шаблонизирование мета тегов,Копирайтинг/Рерайтинг,,нет заявок
Требуется доработка под magento 1.9,Системы управления (CMS),,нет заявок
Создание сайта *под ключ*,Сайты «под ключ»,,15 заявок
Исправление ошибок на сайте http://orimir15.ru/,Веб-программирование,,5 заявок
Размещение объявлений в мае,Наполнение сайтов,,2 заявки
Drupal 7. Натянуть новый дизайн. верстка есть.,Веб-программирование,,7 заявок
Доработка Wordpress,Системы управления (CMS),,1 заявка
Проверить на уязвимость сайт www.stud-help.com,Тестирование сайтов,,4 заявки
Продвижение сайта www.stud-help.com по студенческим форумам и соцсетям,Поисковые системы (SEO),,5 заявок
Оформление страницы сайта в соц сетях,Социальные сети (SMM/SMO),,6 заявок
Разработка УТП и прототипа лендинга,Управление проектами,,нет заявок
Натянуть дизайн на сайт (CMF Cotonti),Веб-программирование,,нет заявок
Программист bitrix для настройки интернет-магазина kshop,Интернет-магазины,,1 заявка
Анимация титров в AAE. Срочно.,Анимация,$20,5 заявок
Аудит сайта - недорого,Тестирование сайтов,,13 заявок
Курсовая работа по предмету педагогика,Дипломы/Курсовые/Рефераты,,4 заявки
Создание сайта Wix,Интернет-магазины,,6 заявок
Требуется сделать рерайт и перевод русс/англ,Копирайтинг/Рерайтинг,,11 заявок
Тексты о Болгарии,Копирайтинг/Рерайтинг,,3 заявки
Качественный рерайт,Копирайтинг/Рерайтинг,,27 заявок
Баннер для инфопродукта,Дизайн продукции,$10,2 заявки
Колонтитул для книги,Дизайн продукции,$6,6 заявок
Верстка сайта.,HTML-верстка,,12 заявок
Приложение смены DNS записей на детский интернет!,ПО для мобильных устройств,,1 заявка
Сделать фотографии (Москва),Фотография (съемка),,3 заявки
Курсовая по экономике на 16 мая,Дипломы/Курсовые/Рефераты,,нет заявок
Промо-страница + UI веб-сервиса,Дизайн сайтов,,21 заявка
Разработка презентации,Презентации,$20,8 заявок
Настроить Google Adwords,Контекстная реклама,,7 заявок
Требуется копирайтер тематики косметология/макияж/салоны красоты,Копирайтинг/Рерайтинг,,9 заявок
Работа по проверки переводов на 11 языках. Для студий,Переводы,,5 заявок
Сделать описание программ (руководство пользователя),Копирайтинг/Рерайтинг,$10,7 заявок
Программная часть сайта,Веб-программирование,,9 заявок
Ищу копирайтера,Копирайтинг/Рерайтинг,,13 заявок
"Сверстать 20 сайтов-визиток (по 2 макета), натянуть на WP",HTML-верстка,,26 заявок
Создать шапку и футер для городского сайта.,Баннеры,,исполнитель выбран
Написать бота для Тelegram,Веб-программирование,,4 заявки
Дипломная работа по психологии,Дипломы/Курсовые/Рефераты,$30,1 заявка
Обтравка (Украина),Фотография (обработка),,32 заявки
Диплом Разрaботка автомaтизированной систeмы склaдского учета,Дипломы/Курсовые/Рефераты,,нет заявок
Разработать логотип для туристической усадьбы,Знаки/Логотипы,,24 заявки
Починить галерею изображений joomla,Веб-программирование,,6 заявок
Сделать адаптив под телефоны и планшеты,ПО для мобильных устройств,,1 заявка
Поднять прокси ipv6 на win2008 vps,Системное администрирование,,2 заявки
Курсовая срочно Деловые коммуникации,Дипломы/Курсовые/Рефераты,,нет заявок
Нужно отрисовать вкладыши для продукции.,Дизайн продукции,$25,14 заявок
Первичное наполнение 1С управление торговлей,1С-программирование,,3 заявки
"IDEF0, DFD, UML -диаграммы",Веб-программирование,,нет заявок
Кандидатская диссертация - Медицинская психология,Дипломы/Курсовые/Рефераты,,2 заявки
Написать уникальный скрипт hyip проекта,Веб-программирование,,2 заявки
Доработка сайта,Веб-программирование,$50,3 заявки
Шаблон для adCMS,Веб-программирование,,1 заявка
"Нужна пачка статей для ИМ лаков, красок, герметиков, антисептиков",Копирайтинг/Рерайтинг,,10 заявок
Дизайн лендинга,Дизайн сайтов,,53 заявки
AdWords Создать кампанию. (до 100 кл слов),Контекстная реклама,,9 заявок
Написание юридических статей,Копирайтинг/Рерайтинг,$350,11 заявок
Редактура научных статей,Редактирование/Корректировка,,26 заявок
Нужна комплексная оптимизация новостного сайта,Поисковые системы (SEO),,15 заявок
Курсовая работа по макроэкономике,Дипломы/Курсовые/Рефераты,,1 заявка
Продвижение в Instagram,Социальные сети (SMM/SMO),,10 заявок
Избавится от вируса на сайте(Джумла),Системы управления (CMS),,5 заявок
Фирменный стиль для марки одежы,Фирменный стиль,,13 заявок
Оптимизация кода и исправление ошибок,Веб-программирование,,4 заявки
2 реферата по макроэкономике,Дипломы/Курсовые/Рефераты,,1 заявка
Opencart(баг) добавление в корзину не работает в мобильной версии,Веб-программирование,,3 заявки
Нужна иллюстрация высокого качества за достойную оплату,Иллюстрации/Рисунки,,18 заявок
Поправить дизайн. CMS джумла,Системы управления (CMS),,6 заявок
Нужен KeyGen,Веб-программирование,,3 заявки
Написание статей на английском языке,Копирайтинг/Рерайтинг,$1200,11 заявок
Необходимо раскрасить каркасы страниц e-commerce магазина,Дизайн сайтов,,5 заявок
Проект для специалиста по WordPress,Веб-программирование,,5 заявок
Проанализировать сайт с точки зрения адаптации под мобильные системы,Веб-программирование,,2 заявки
Подключить робокассу к интернет-магазину на вордпрессе,Интернет-магазины,,2 заявки
Для проекта требуется FrontEnd Developer,Веб-программирование,,4 заявки
Разработка проектов дома из бруса. оцилидровки,Чертежи/Схемы,,7 заявок
Программирование сайта-каталога картин,Веб-программирование,$300,10 заявок
"Вращающая 3D пирамида для сайта (WebGL, JS)",Веб-программирование,,исполнитель выбран
Проверить одностраничники,Веб-программирование,,6 заявок
Разыскивается PHP-программист,Веб-программирование,,6 заявок
Нужен специалист для поиска исходящих ссылок и удаления их,Поисковые системы (SEO),,5 заявок
Создать дизайн сайта о проведении сeминapов пo мeдицинскoму маркетингу,Дизайн сайтов,,исполнитель выбран
12к текста по ремонту ноутбуков. Знание темы!,Копирайтинг/Рерайтинг,,3 заявки
Подготовка программы SEO. Сайт тренинги по женскому здоровью.,Поисковые системы (SEO),$40,исполнитель выбран
ВТО: правовые основы деятельности,Дипломы/Курсовые/Рефераты,,3 заявки
Курсовая по химии,Дипломы/Курсовые/Рефераты,,нет заявок
"Необходима доработка интернет магазина, техническая оптимизация.",Веб-программирование,,3 заявки
Нужно наполнить доску объявлений первичными позициями,Наполнение сайтов,,4 заявки
